token_lower,total_count,initial_upper_count,all_upper_count,initial_upper_ratio,all_upper_ratio
aldaboro,6,6,3,1.0,0.5
aldao,12,12,0,1.0,0.0
aldaïa,41,41,1,1.0,0.024390243902439025
alde,5,5,0,1.0,0.0
aldebaran,8,8,0,1.0,0.0
aldebert,8,8,0,1.0,0.0
aldebrand,6,6,0,1.0,0.0
aldegonde,31,31,0,1.0,0.0
aldgate,14,14,0,1.0,0.0
aldine,152,152,3,1.0,0.019736842105263157
aldini,59,59,0,1.0,0.0
aldo,22,22,0,1.0,0.0
aldric,7,7,0,1.0,0.0
aldrige,76,76,0,1.0,0.0
aldrigger,31,31,0,1.0,0.0
aldwell,31,31,0,1.0,0.0
aldébaran,13,13,0,1.0,0.0
aldée,14,12,2,0.8571428571428571,0.14285714285714285
alea,25,16,0,0.64,0.0
alec,38,38,0,1.0,0.0
alembert,43,43,0,1.0,0.0
alemguir,24,24,0,1.0,0.0
alencar,8,8,0,1.0,0.0
alençon,793,789,0,0.9949558638083228,0.0
aleo,8,8,0,1.0,0.0
alep,70,70,0,1.0,0.0
alepian,85,85,0,1.0,0.0
alescar,35,35,0,1.0,0.0
alessandri,86,86,0,1.0,0.0
aleth,268,268,0,1.0,0.0
alex,212,212,11,1.0,0.05188679245283019
alexander,26,26,0,1.0,0.0
alexandra,138,138,1,1.0,0.007246376811594203
alexandre,2132,2132,17,1.0,0.00797373358348968
alexandrie,442,442,2,1.0,0.004524886877828055
alexandrine,147,142,1,0.9659863945578231,0.006802721088435374
alexandrovitch,112,112,0,1.0,0.0
alexandrovna,12,12,0,1.0,0.0
alexeevitch,7,7,0,1.0,0.0
alexei,9,9,0,1.0,0.0
alexievich,5,5,0,1.0,0.0
alexievna,11,11,0,1.0,0.0
alexine,161,161,0,1.0,0.0
alexiovitch,17,17,0,1.0,0.0
alexis,1138,1137,5,0.9991212653778558,0.004393673110720563
alexy,251,251,0,1.0,0.0
aleyron,11,11,0,1.0,0.0
alezia,96,96,0,1.0,0.0
alfanie,21,21,0,1.0,0.0
alfarey,33,33,0,1.0,0.0
alfaye,26,26,0,1.0,0.0
alfieri,82,81,0,0.9878048780487805,0.0
alfonse,212,212,0,1.0,0.0
alfonso,103,103,0,1.0,0.0
alforda,29,29,0,1.0,0.0
alfort,27,27,0,1.0,0.0
alfred,1771,1771,8,1.0,0.004517221908526256
alfroy,5,5,0,1.0,0.0
algarotti,8,8,0,1.0,0.0
algarves,8,8,0,1.0,0.0
alger,685,685,3,1.0,0.004379562043795621
algernon,236,236,0,1.0,0.0
algonquins,9,8,0,0.8888888888888888,0.0
algue,86,33,1,0.38372093023255816,0.011627906976744186
algère,8,8,0,1.0,0.0
algérie,717,717,2,1.0,0.002789400278940028
algérien,79,26,0,0.3291139240506329,0.0
algériens,79,28,0,0.35443037974683544,0.0
algésiras,33,33,0,1.0,0.0
alhambra,143,141,0,0.986013986013986,0.0
alhoy,5,5,0,1.0,0.0
ali,991,988,2,0.9969727547931383,0.0020181634712411706
alibert,10,10,1,1.0,0.1
alicante,79,54,0,0.6835443037974683,0.0
alice,3963,3962,21,0.9997476659096644,0.005299015897047691
alicia,216,216,0,1.0,0.0
alick,15,15,0,1.0,0.0
alida,114,114,0,1.0,0.0
alidière,17,17,0,1.0,0.0
aliffe,9,9,0,1.0,0.0
alighieri,31,31,0,1.0,0.0
aligre,11,11,0,1.0,0.0
alimus,5,5,0,1.0,0.0
alincourt,5,5,0,1.0,0.0
aline,883,883,9,1.0,0.010192525481313703
alis,5,5,0,1.0,0.0
alise,42,40,0,0.9523809523809523,0.0
alison,8,8,0,1.0,0.0
alisé,13,9,0,0.6923076923076923,0.0
alix,1272,1272,2,1.0,0.0015723270440251573
aliénor,13,13,0,1.0,0.0
all,365,156,1,0.4273972602739726,0.0027397260273972603
allah,451,446,0,0.9889135254988913,0.0
allahabad,28,28,0,1.0,0.0
allain,120,120,1,1.0,0.008333333333333333
allaire,6,6,0,1.0,0.0
allan,554,554,2,1.0,0.0036101083032490976
allard,44,44,1,1.0,0.022727272727272728
allassac,13,13,0,1.0,0.0
alle,101,24,0,0.2376237623762376,0.0
allebouville,5,5,0,1.0,0.0
