token_lower,spacy_form,spacy_pos,spacy_lemma
alfieri,Alfieri,PROPN,Alfieri
alfonse,Alfonse,PROPN,Alfonse
alfort,Alfort,PROPN,Alfort
alfred,Alfred,PROPN,Alfred
algarotti,Algarotti,PROPN,Algarotti
algarves,Algarves,PROPN,Algarves
algernon,Algernon,PROPN,Algernon
algonquins,Algonquins,PROPN,Algonquins
algue,Algue,PROPN,Algue
algère,Algère,PROPN,Algère
algérie,Algérie,PROPN,Algérie
algérien,Algérien,PROPN,Algérien
algériens,Algériens,PROPN,Algériens
algésiras,Algésiras,PROPN,Algésiras
alhambra,Alhambra,PROPN,Alhambra
alhoy,Alhoy,PROPN,Alhoy
ali,Ali,PROPN,Ali
alibert,Alibert,PROPN,Alibert
alicante,Alicante,PROPN,Alicante
alice,Alice,PROPN,Alice
alicia,Alicia,PROPN,Alicia
alick,Alick,PROPN,Alick
alida,Alida,PROPN,Alida
alidière,Alidière,PROPN,Alidière
alighieri,Alighieri,PROPN,Alighieri
aligre,Aligre,PROPN,Aligre
alimus,Alimus,PROPN,Alimus
alincourt,Alincourt,PROPN,Alincourt
aline,Aline,PROPN,Aline
alis,Alis,PROPN,Alis
alise,Alise,PROPN,Alise
alisé,Alisé,PROPN,Alisé
alix,Alix,PROPN,Alix
aliénor,Aliénor,PROPN,Aliénor
allah,Allah,PROPN,Allah
allahabad,Allahabad,PROPN,Allahabad
allain,Allain,PROPN,Allain
allan,Allan,PROPN,Allan
allard,Allard,PROPN,Allard
allassac,Allassac,PROPN,Allassac
alle,Alle,PROPN,Alle
alleghany,Alleghany,PROPN,Alleghany
alleghanys,Alleghanys,PROPN,Alleghanys
alleluia,Alleluia,PROPN,Alleluia
allemagne,Allemagne,PROPN,Allemagne
allemagnes,Allemagnes,PROPN,Allemagnes
alleman,Alleman,PROPN,Alleman
allemand,Allemand,PROPN,Allemand
allen,Allen,PROPN,Allen
allermy,Allermy,PROPN,Allermy
alles,Alles,PROPN,Alles
alleu,Alleu,PROPN,Alleu
alleux,Alleux,PROPN,Alleux
allevard,Allevard,PROPN,Allevard
allez,Allez,PROPN,Allez
alliette,Alliette,PROPN,Alliette
allix,Allix,PROPN,Allix
allize,Allize,PROPN,Allize
allo,Allo,PROPN,Allo
