word,global_frequency,pos,lemma,is_stopword,is_proper_noun_candidate,is_content_pos
premiers,14473,ADJ,premier,False,False,True
jeunesse,14470,NOUN,jeunesse,False,False,True
peuple,14453,NOUN,peuple,False,False,True
duchesse,14432,NOUN,duchesse,False,False,True
prenait,14418,VERB,prendre,False,False,True
ancien,14402,ADJ,ancien,False,False,True
morte,14389,VERB,mourir,False,False,True
immense,14338,ADJ,immense,False,False,True
soldats,14332,NOUN,soldat,False,False,True
digne,14329,ADJ,digne,False,False,True
somme,14317,NOUN,somme,False,False,True
penser,14316,VERB,penser,False,False,True
nombre,14311,NOUN,nombre,False,False,True
pensait,14272,VERB,penser,False,False,True
vin,14271,NOUN,vin,False,False,True
bête,14193,NOUN,bête,False,False,True
servir,14161,VERB,servir,False,False,True
espèce,14149,NOUN,espèce,False,False,True
entendit,14116,VERB,entendre,False,False,True
profonde,14113,ADJ,profond,False,False,True
dos,14113,ADJ,do,False,False,True
aimé,14110,VERB,aimer,False,False,True
parents,14085,NOUN,parent,False,False,True
courant,14084,ADJ,courant,False,False,True
cours,14057,NOUN,cours,False,False,True
soudain,14046,ADV,soudain,False,False,True
traits,14032,NOUN,trait,False,False,True
sol,14029,ADJ,sol,False,False,True
pont,14025,NOUN,pont,False,False,True
pouvez,14006,VERB,pouvoir,False,False,True
noble,14004,ADJ,noble,False,False,True
chien,13991,NOUN,chien,False,False,True
dents,13977,NOUN,dent,False,False,True
neuf,13940,ADJ,neuf,False,False,True
mesure,13936,NOUN,mesure,False,False,True
belles,13919,ADJ,bel,False,False,True
sommeil,13908,NOUN,sommeil,False,False,True
véritable,13905,ADJ,véritable,False,False,True
revoir,13867,VERB,revoir,False,False,True
compagnie,13862,NOUN,compagnie,False,False,True
envie,13850,NOUN,envie,False,False,True
cabinet,13843,NOUN,cabinet,False,False,True
officier,13835,NOUN,officier,False,False,True
noire,13825,ADJ,noir,False,False,True
recevoir,13811,VERB,recevoir,False,False,True
voudrais,13796,VERB,vouloir,False,False,True
simplement,13792,ADV,simplement,False,False,True
répéta,13775,VERB,répéter,False,False,True
taille,13771,NOUN,taille,False,False,True
souriant,13730,VERB,sourire,False,False,True
œuvre,13720,NOUN,œuvre,False,False,True
mauvaise,13706,ADJ,mauvais,False,False,True
arrêter,13679,VERB,arrêter,False,False,True
empêcher,13674,VERB,empêcher,False,False,True
soin,13642,NOUN,soin,False,False,True
parfaitement,13615,ADV,parfaitement,False,False,True
livre,13603,NOUN,livre,False,False,True
amitié,13558,NOUN,amitié,False,False,True
dames,13477,NOUN,dame,False,False,True
misérable,13452,ADJ,misérable,False,False,True
époque,13434,NOUN,époque,False,False,True
riant,13395,VERB,rire,False,False,True
armée,13375,NOUN,armée,False,False,True
absolument,13372,ADV,absolument,False,False,True
curé,13367,NOUN,curé,False,False,True
laissait,13331,VERB,laisser,False,False,True
désespoir,13315,NOUN,désespoir,False,False,True
regarde,13286,VERB,regarder,False,False,True
pain,13229,NOUN,pain,False,False,True
difficile,13206,ADJ,difficile,False,False,True
société,13195,NOUN,société,False,False,True
jeter,13186,VERB,jeter,False,False,True
prie,13168,VERB,prier,False,False,True
colonel,13154,NOUN,colonel,False,False,True
paix,13153,NOUN,paix,False,False,True
ennemi,13134,NOUN,ennemi,False,False,True
noirs,13109,ADJ,noir,False,False,True
ordres,13095,NOUN,ordre,False,False,True
pensées,13087,NOUN,pensée,False,False,True
fauteuil,13052,NOUN,fauteuil,False,False,True
profond,12998,ADJ,profond,False,False,True
jeu,12962,NOUN,jeu,False,False,True
sentit,12942,VERB,sentir,False,False,True
minute,12937,NOUN,minute,False,False,True
appelait,12921,VERB,appeler,False,False,True
lire,12916,VERB,lire,False,False,True
forte,12912,ADJ,fort,False,False,True
appris,12881,VERB,apprendre,False,False,True
facile,12875,ADJ,facile,False,False,True
crainte,12871,NOUN,crainte,False,False,True
jouer,12862,VERB,jouer,False,False,True
aide,12840,NOUN,aide,False,False,True
tendresse,12839,NOUN,tendresse,False,False,True
forces,12798,NOUN,force,False,False,True
connu,12770,VERB,connaître,False,False,True
demandait,12724,VERB,demander,False,False,True
goût,12709,NOUN,goût,False,False,True
tuer,12705,VERB,tuer,False,False,True
monter,12696,VERB,monter,False,False,True
devenu,12680,VERB,devenir,False,False,True
reconnaître,12678,VERB,reconnaître,False,False,True
portes,12677,NOUN,porte,False,False,True
bons,12669,ADJ,bon,False,False,True
écrit,12667,VERB,écrire,False,False,True
physionomie,12633,NOUN,physionomie,False,False,True
poche,12597,NOUN,poche,False,False,True
maisons,12586,NOUN,maison,False,False,True
entendait,12574,VERB,entendre,False,False,True
intérieur,12572,ADJ,intérieur,False,False,True
venaient,12533,VERB,venir,False,False,True
avance,12509,NOUN,avance,False,False,True
forêt,12499,NOUN,forêt,False,False,True
conseil,12472,NOUN,conseil,False,False,True
pensa,12467,ADJ,pensa,False,False,True
avis,12457,NOUN,avis,False,False,True
second,12427,ADJ,second,False,False,True
effort,12401,NOUN,effort,False,False,True
apprendre,12393,VERB,apprendre,False,False,True
arrivait,12371,VERB,arriver,False,False,True
montrer,12349,VERB,montrer,False,False,True
bonnes,12324,ADJ,bon,False,False,True
sauver,12281,VERB,sauver,False,False,True
prise,12268,NOUN,prise,False,False,True
appartement,12253,NOUN,appartement,False,False,True
devenir,12194,VERB,devenir,False,False,True
ordinaire,12141,NOUN,ordinaire,False,False,True
sentiments,12119,NOUN,sentiment,False,False,True
honnête,12110,ADJ,honnête,False,False,True
retrouver,12102,VERB,retrouver,False,False,True
instants,12099,NOUN,instant,False,False,True
épée,12090,NOUN,épée,False,False,True
aurai,12084,VERB,avoir,False,False,True
